Vendor Categories,,,,
"Law office of Julie Frances, P.C.",,,,
All Dates,,,,

,Account name,Transaction date,Memo/Description,Full name
,Cash-ATC-PC Operating Account,05/02/2022,LaVine,Sales
,Cash-ATC-PC Operating Account,06/03/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/03/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,08/11/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/11/2022,,Due to Client
,Cash-ATC-PC Operating Account,08/11/2022,,ADK Retainer Account
,Cash-ATC-PC Operating Account,08/11/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,08/11/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,01/27/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/27/2023,,Due to Client
,Cash-ATC-PC Operating Account,01/27/2023,,ADK Retainer Account
,Cash-ATC-PC Operating Account,01/27/2023,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,09/12/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/12/2023,,Due to Client
,Cash-ATC-PC Operating Account,09/12/2023,,ADK Retainer Account
,Cash-ATC-PC Operating Account,09/12/2023,,Undeposited Funds-1
Internal Revenue Service,,,,
,Cash-ATC-PC Operating Account,01/18/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,01/31/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/31/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities:FUTA Payable
,Cash-ATC-PC Operating Account,02/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,03/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,04/18/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/18/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,05/16/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/16/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,06/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,07/20/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/20/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,08/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,09/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,10/17/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/17/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,11/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,12/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/15/2022,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,01/20/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/20/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,01/31/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/31/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,02/15/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/15/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,03/15/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/15/2023,ACH Debit IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,04/17/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/17/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,05/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,06/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,07/17/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/17/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,08/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,09/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,10/16/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/16/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,11/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,12/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/15/2023,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,01/16/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/16/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,01/31/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/31/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,02/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,03/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,04/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,05/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,06/17/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/17/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,07/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,08/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,09/16/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/16/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,10/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,11/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/15/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
,Cash-ATC-PC Operating Account,12/16/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/16/2024,IRS/USATAXPYMT LAW OFFICE OF JULIE M,Payroll Liabilities
Brent Coye,,,,
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,,Accounts Receivable
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Escrow Account
,Cash-ATC-PC Operating Account,01/18/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Escrow Account
,Cash-ATC-PC Operating Account,01/18/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,05/26/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/26/2022,,Accounts Receivable
,Cash-ATC-PC Operating Account,08/15/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/15/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,01/10/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/10/2023,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,06/01/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/01/2023,,Accounts Receivable
,Cash-ATC-PC Operating Account,11/20/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/20/2023,,Accounts Receivable
,Cash-ATC-PC Operating Account,06/03/2024,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/03/2024,,Legal Fee Income
,Cash-ATC-PC Operating Account,06/03/2024,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/03/2024,,Accounts Receivable
,Cash-ATC-PC Operating Account,11/18/2024,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/18/2024,,Accounts Receivable
,Cash-ATC-PC Operating Account,11/18/2024,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/18/2024,,Accounts Receivable
"Bidwell, Myrtle",,,,
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/18/2022,,ADK Retainer Account
,Cash-ATC-PC Operating Account,01/18/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,01/18/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/18/2022,,Due to Client
,Cash-ATC-PC Operating Account,01/18/2022,,ADK Retainer Account
,Cash-ATC-PC Operating Account,01/18/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,02/04/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/04/2022,,Due to Client
,Cash-ATC-PC Operating Account,02/04/2022,,ADK Retainer Account
,Cash-ATC-PC Operating Account,02/04/2022,,Undeposited Funds-1
,Cash-ATC-PC Operating Account,08/18/2022,MyCase Payment,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/18/2022,,Accounts Receivable
,Cash-ATC-PC Operating Account,11/08/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/08/2023,,Due to Client
,Cash-ATC-PC Operating Account,11/08/2023,,ADK Retainer Account
,Cash-ATC-PC Operating Account,11/08/2023,,Undeposited Funds-1
Saratoga Historic Properties,,,,
,Cash-ATC-PC Operating Account,01/19/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/19/2022,,Rent Expense
,Cash-ATC-PC Operating Account,01/19/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/19/2022,,Rent Expense
,Cash-ATC-PC Operating Account,01/19/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/19/2022,,Rent Expense
,Cash-ATC-PC Operating Account,03/04/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/04/2022,,Rent Expense
,Cash-ATC-PC Operating Account,04/08/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/08/2022,,Rent Expense
,Cash-ATC-PC Operating Account,04/08/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/08/2022,2nd Quarter Parking,Rent Expense
,Cash-ATC-PC Operating Account,05/09/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/09/2022,,Rent Expense
,Cash-ATC-PC Operating Account,06/10/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/10/2022,,Rent Expense
,Cash-ATC-PC Operating Account,07/14/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/14/2022,,Rent Expense
,Cash-ATC-PC Operating Account,08/10/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/10/2022,,Rent Expense
,Cash-ATC-PC Operating Account,08/10/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/10/2022,3rd Quarter Parking,Rent Expense
,Cash-ATC-PC Operating Account,09/15/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/15/2022,,Rent Expense
,Cash-ATC-PC Operating Account,10/19/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/19/2022,,Rent Expense
,Cash-ATC-PC Operating Account,10/19/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/19/2022,4th Quarter Parking,Rent Expense
,Cash-ATC-PC Operating Account,11/09/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/09/2022,,Rent Expense
,Cash-ATC-PC Operating Account,12/01/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/01/2022,,Rent Expense
,Cash-ATC-PC Operating Account,12/14/2022,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/14/2022,rent increase,Rent Expense
,Cash-ATC-PC Operating Account,01/01/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/01/2023,,Rent Expense
,Cash-ATC-PC Operating Account,01/01/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/01/2023,1st quarter parking,Rent Expense
,Cash-ATC-PC Operating Account,02/01/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/01/2023,,Rent Expense
,Cash-ATC-PC Operating Account,03/10/2023,,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/10/2023,,Rent Expense
,Cash-ATC-PC Operating Account,04/13/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/13/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,04/13/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/13/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,05/11/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/11/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,06/08/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/08/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,07/07/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/07/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,07/07/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/07/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,08/11/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/11/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,09/15/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/15/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,10/11/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/11/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,10/11/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/11/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,11/03/2023,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/03/2023,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,12/15/2023,Teller Check 3043,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/15/2023,Teller Check 3043,Rent Expense
,Cash-ATC-PC Operating Account,02/01/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/01/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,02/01/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/01/2024,Teller Check,Rent
,Cash-ATC-PC Operating Account,02/29/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/29/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,03/14/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/14/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,04/02/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/02/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,05/08/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/08/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,06/13/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/13/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,07/12/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,07/12/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,08/27/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/27/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,09/09/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/09/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,10/03/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/03/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,11/01/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/01/2024,Teller Check,Rent Expense
,Cash-ATC-PC Operating Account,12/02/2024,Teller Check,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/02/2024,Teller Check,Rent Expense
NY Central Insurance,,,,
,Cash-ATC-PC Operating Account,01/20/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/20/2022,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,02/21/2023,ACH Debit NEW YORK CENTRAL/EFT DEBIT JULIE M       FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/21/2023,ACH Debit NEW YORK CENTRAL/EFT DEBIT JULIE M       FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,03/20/2023,ACH Debit NEW YORK CENTRAL/EFT DEBIT JULIE M       FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/20/2023,ACH Debit NEW YORK CENTRAL/EFT DEBIT JULIE M       FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,04/20/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/20/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,05/18/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/18/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,06/21/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/21/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,08/18/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/18/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,09/19/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/19/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,10/19/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,10/19/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,11/20/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,11/20/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,12/20/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,12/20/2023,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,01/17/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/17/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,01/19/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,01/19/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance Expense
,Cash-ATC-PC Operating Account,02/21/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,02/21/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,03/19/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,03/19/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,04/18/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,04/18/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,05/20/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,05/20/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,06/21/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,06/21/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,08/20/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,08/20/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,09/19/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
,Cash-ATC-PC Operating Account,09/19/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Insurance
,Cash-ATC-PC Operating Account,10/18/2024,NEW YORK CENTRAL/EFT DEBIT JULIE M FRANCES,Cash-ATC-PC Operating Account
